#t [s],	 res[A],	 res[Q] 
1.39480000000000003979 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.39590000000000014069 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.39700000000000001954 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.39810000000000012044 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.39919999999999999929 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40030000000000010019 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40139999999999997904 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40250000000000007994 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40359999999999995879 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40470000000000005969 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40580000000000016058 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40690000000000003944 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40800000000000014033 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.40910000000000001918 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41020000000000012008 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41129999999999999893 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41240000000000009983 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41349999999999997868 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41460000000000007958 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41569999999999995843 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.41680000000000005933 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.41790000000000016023 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.41900000000000003908 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42010000000000013998 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42120000000000001883 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42230000000000011973 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42339999999999999858 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42450000000000009948 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42559999999999997833 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42670000000000007923 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42779999999999995808 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.42890000000000005898 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43000000000000015987 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43110000000000003872 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43220000000000013962 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43330000000000001847 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43440000000000011937 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43549999999999999822 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43660000000000009912 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43769999999999997797 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43880000000000007887 ,	 0.00004887584336696492 ,	 0.00069169844616781496 
1.43990000000000017977 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44100000000000005862 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44210000000000015952 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44320000000000003837 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44430000000000013927 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44540000000000001812 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44650000000000011902 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44759999999999999787 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44870000000000009877 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.44979999999999997762 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45090000000000007851 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
