4.31501899239897568350,	 8.87500000000000000000,	 0.64791880687999392485,	 1.31883676420406548147,	 100000.00000000000000000000,	 0.65720633997313659957,	 0.00928753309314266431,	 1.35691724337929375821,	 9.08712288918345478805,	 6.69688806264463298845,	 25.69146519741521927926,	 1646.17237963531488276203,	 -71.59902235672481651818,	 1668.59653449711095163366,	 -2.35188872064124332439,	 -7.75305747460606653476,	 3.69334851411841524893,	 0.02774915081631608785
4.31501899239897568350,	 9.12500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.63864952529574348095,	 0.00917755816656199049,	 1.28137149948580097991,	 9.10942798786992113946,	 7.10912330383922608235,	 28.04915013106721488612,	 1626.67983142322304956906,	 -83.77907697719024326943,	 1651.94964849781808879925,	 -2.56706560927947302631,	 -7.74659845723882156676,	 3.76074031241027872952,	 0.02988218015397389737
4.31501899239897568350,	 9.37500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.62427529017813654377,	 0.00905119668039385677,	 1.22434035147112640907,	 9.12162734816146958394,	 7.45023827500353785780,	 30.45294823385255611470,	 1604.28284114671964744048,	 -94.35412625921689766528,	 1632.03586632388351063128,	 -2.78735598264968720272,	 -7.84559615881675842530,	 3.86957230492839299174,	 0.03167448918394696888
4.31501899239897568350,	 9.62500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.61443740601102547760,	 0.00891139009056091461,	 1.18605592315022190242,	 9.12478204246855106874,	 7.69338263429660962345,	 32.81481065445086642285,	 1579.50276829361473573954,	 -102.57638846366160123580,	 1609.09683647246311011259,	 -3.00543748620495909663,	 -8.06297926233970940757,	 4.02604952070629629191,	 0.03296902007574908228
4.31501899239897568350,	 9.87500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.60937836728432248634,	 0.00876183403094809958,	 1.16660528193489865245,	 9.11934378285018354404,	 7.81699168010374201288,	 35.02487729162497487323,	 1552.99464691488901735283,	 -111.86288004074692992162,	 1583.54732637829465602408,	 -3.21155826296103841244,	 -8.40989779812318971608,	 4.23630054872246830655,	 0.03363749629611698100
4.31501899239897568350,	 10.12500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.60921236398541211976,	 0.00859583073203776769,	 1.16596976890123982251,	 9.09723274527069492024,	 7.80228869385141887705,	 36.95242524871646594420,	 1523.57132827324107893219,	 -124.67680521434304807826,	 1554.00918270434181067685,	 -3.39725476490867306367,	 -8.91050543012700124734,	 4.51165396787422778857,	 0.03357880148303216822
4.31501899239897568350,	 10.37500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.61393614317735289987,	 0.00841012725688828656,	 1.18412152515380153517,	 9.07497891946273504971,	 7.66389152353599545364,	 38.62248031335460751734,	 1490.65624430771731567802,	 -133.45773382936408779642,	 1520.02386094998064436368,	 -3.55621168683608424033,	 -9.56949427791380635711,	 4.86471846876307179031,	 0.03285604448683399070
4.31501899239897568350,	 10.62500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.62344344691342834519,	 0.00821935341568570850,	 1.22107967226275149208,	 9.04645079036706079023,	 7.40856718513978229623,	 39.96434478394098022136,	 1456.84246135855914872081,	 -134.94035737779242367651,	 1484.28589522692413993354,	 -3.68255505277681827181,	 -10.40973367271672245238,	 5.31209350799700175116,	 0.03151833165610389009
4.31501899239897568350,	 10.87500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.63750143466590603047,	 0.00802946753672451746,	 1.27676863597767820124,	 9.01137518037153739670,	 7.05795468845546114522,	 40.93094191685931093616,	 1423.18606561882120331575,	 -132.54885999699854437495,	 1448.09342781096643193450,	 -3.76973884966986005907,	 -11.43776305728177788978,	 5.86581725072435933299,	 0.02969380227462916494
4.31501899239897568350,	 11.12500000000000000000,	 0.64791880687999370281,	 1.31883676420406459329,	 100000.00000000000000000000,	 0.65576424686507228667,	 0.00784543998507856825,	 1.35096887068791815523,	 8.96972497983656680276,	 6.63947569366950052228,	 41.49928947827910974411,	 1390.56803136005987653334,	 -126.99306639533840268541,	 1412.60935010347384377383,	 -3.81454271351791573963,	 -12.65563559416757044573,	 6.53675042209663281767,	 0.02754149099517061092
