3.75219042817302295134,	 11.12500000000000000000,	 0.64791880687999370281,	 1.31883676420406459329,	 100000.00000000000000000000,	 0.64825039646738169541,	 0.00033158958738793205,	 1.32018700882409745212,	 0.14724616212105570701,	 0.11153432137785479483,	 19.56483741541202903136,	 58.77272410859334428324,	 -6.47456358622115768497,	 58.77894406101595592418,	 -2.81952732660637561679,	 -550.47563309753741123131,	 4492.46205970547816832550,	 0.00046533386880521019
3.75219042817302295134,	 11.37500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.67043425826933977785,	 0.00032386793537666212,	 1.41208964650765200766,	 0.15117104279971796399,	 0.10705484823402731942,	 19.71179032416869247868,	 57.40409692432584165545,	 -4.43088039818811374460,	 57.40982729459104660918,	 -2.70769519802631952743,	 -569.60941924541020853212,	 4839.62294909303000167711,	 0.00043919336527794124
3.75219042817302295134,	 11.62500000000000000000,	 0.69550028705681021801,	 1.51965323821832964946,	 100000.00000000000000000000,	 0.69581937736136523220,	 0.00031909030455491575,	 1.52104796905994765766,	 0.15503757991969718821,	 0.10192813315119507445,	 19.65212036455976374327,	 56.55728390949929007547,	 -2.41638546067651338589,	 56.56247858166313591255,	 -2.57314220251189995636,	 -590.05672753868827840051,	 5208.88211339907502406277,	 0.00041046236225516353
3.75219042817302295134,	 11.87500000000000000000,	 0.72346331352698201034,	 1.64430697486169830057,	 100000.00000000000000000000,	 0.72378036496482500706,	 0.00031705143784296647,	 1.64574849681590484884,	 0.15877256941354353503,	 0.09647438215543088780,	 19.41938105943080472571,	 56.19590419398758740499,	 -0.63238236526854707531,	 56.20055784719372127256,	 -2.42712560675246447062,	 -611.66632759091214666114,	 5596.63935115855656476924,	 0.00038092207112967600
3.75219042817302295134,	 12.12500000000000000000,	 0.75331092722881876078,	 1.78278268352206903380,	 100000.00000000000000000000,	 0.75362823361565711711,	 0.00031730638683838365,	 1.78428487192735407696,	 0.16233263044378370976,	 0.09097909924463730424,	 19.05419693642850020865,	 56.24109272686501270755,	 0.79098611908087235189,	 56.24523132511469469819,	 -2.27923058204087425338,	 -634.20742287423001926072,	 5997.83219167951210692991,	 0.00035203884074537441
3.75219042817302295134,	 12.37500000000000000000,	 0.78430818085443088084,	 1.93251717667357647557,	 100000.00000000000000000000,	 0.78462746362291935220,	 0.00031928276848845532,	 1.93409090761280300086,	 0.16570581952249069380,	 0.08567633448368618121,	 18.59936292993124595796,	 56.59139725352802230418,	 1.79960472845325680780,	 56.59506747067329968104,	 -2.13691105546816428884,	 -657.38017580213170276693,	 6406.05341359541216661455,	 0.00032490519442331963
3.75219042817302295134,	 12.62500000000000000000,	 0.81569181914556887492,	 2.09026854867095046586,	 100000.00000000000000000000,	 0.81601420212361874817,	 0.00032238297804981894,	 2.09192113399509871385,	 0.16890622615053796363,	 0.08074215772559507898,	 18.09591239906595916409,	 57.14089509109164310985,	 2.40125522419070547286,	 57.14415473910873544128,	 -2.00549460924209732582,	 -680.84208782967982642731,	 6814.01336753304985904833,	 0.00030024723879206318
3.75219042817302295134,	 12.87500000000000000000,	 0.84668907277118088395,	 2.25215243718882618396,	 100000.00000000000000000000,	 0.84701512935559397643,	 0.00032605658441304115,	 2.25388736101972719794,	 0.17196455232735372021,	 0.07629687059851639197,	 17.58052873960328454928,	 57.79202486562337526266,	 2.64283119539158217748,	 57.79493547185494151108,	 -1.88847254797936714432,	 -704.24317723519959599798,	 7214.26046956729078374337,	 0.00027847657636751995
3.75219042817302295134,	 13.12500000000000000000,	 0.87653668647301785644,	 2.41373766911366161025,	 100000.00000000000000000000,	 0.87686652474022541703,	 0.00032983826720753881,	 2.41555457616557989198,	 0.17491781731382718967,	 0.07241310920471499823,	 17.08429624246209144189,	 58.46231068878743286632,	 2.58786377939496103906,	 58.46493251797978274453,	 -1.78791638966461330362,	 -727.26222576025202215533,	 7600.01005372856252506608,	 0.00025976341161169681
3.75219042817302295134,	 13.37500000000000000000,	 0.90449971294318953774,	 2.57019893576894364884,	 100000.00000000000000000000,	 0.90483306975654265170,	 0.00033335681335306181,	 2.57209379809309934828,	 0.17780043832156405825,	 0.06912673186855855523,	 16.63254550797017827790,	 59.08595675532085067516,	 2.29935737646907201182,	 59.08834600785026225367,	 -1.70491056354488135227,	 -749.63796148392088980472,	 7965.92381306879178737290,	 0.00024411210873496943
