100000, 	 700, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.05342387764408063067, 	 0.26405587435386329576, 	 0.26426996254387624674, 	 0.26086398734558408075
100000, 	 700, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 -0.15405923807372245982, 	 0.28006996523067112514, 	 0.29285485105447450760, 	 0.28807959983702613460
100000, 	 700, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 -0.15338977439567691441, 	 0.28468914587943150440, 	 0.29284710133536628884, 	 0.28792998107977380018
100000, 	 700, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 -0.86519860049496566390, 	 0.34439827169690723219, 	 0.37289232662580118483, 	 0.36685066108945363350
100000, 	 700, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 -0.85805693502468916023, 	 0.34049391592208566593, 	 0.37288119827994081756, 	 0.36607863429098991270
100000, 	 700, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 -1.18187027048996196044, 	 0.36607929113963871837, 	 0.40454243357225844191, 	 0.39668987477936362707
100000, 	 700, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 -1.17455349703046474374, 	 0.36202363088396732893, 	 0.40452794613622400366, 	 0.39595424795854672340
100000, 	 700, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 -1.52008502231625097778, 	 0.38749931449199193079, 	 0.43580974877361161601, 	 0.42625280223704731242
100000, 	 700, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 -1.51254516974674357854, 	 0.38307834934826484607, 	 0.43578797066585350795, 	 0.42554435933103862411
150000, 	 500, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 -0.47975613751129908557, 	 0.36487661118933395477, 	 0.30451698667335191928, 	 0.32865515593369737379
150000, 	 500, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 -0.49490337589190191991, 	 0.36857877005060107889, 	 0.30514986046356407101, 	 0.33037581600606530374
150000, 	 500, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 -0.35086651222179954246, 	 0.35286784695284051372, 	 0.28914187211728559213, 	 0.31408285615421327464
