t	Pre-Clamp(Aorta raw)	Post-Clamp
4.97	85.3548	109.468
4.98	83.8258	117.619
4.99	82.5504	125.04
5.00	81.193	131.693
5.01	80.1936	137.115
5.02	79.2539	141.389
5.03	78.5677	144.186
5.04	77.9785	146.103
5.05	77.5459	146.759
5.06	77.0164	146.737
5.07	76.539	145.804
5.08	76.0095	144.372
5.09	75.4352	142.485
5.10	74.7565	140.337
5.11	74.13	138.033
5.12	73.593	135.572
5.13	73.0262	132.864
5.14	72.3698	130.075
5.15	71.6911	127.039
5.16	70.9378	123.75
5.17	70.3412	120.111
5.18	69.6102	116.143
5.19	69.0136	111.914
5.20	68.3647	107.521
5.21	67.9992	103.091
5.22	67.8426	98.9289
5.23	68.4244	94.9909
5.24	69.8042	91.6197
5.25	72.4593	88.6737
5.26	76.1139	86.0857
5.27	80.9245	83.9004
5.28	86.1528	82.0433
5.29	91.5302	80.5665
5.30	96.5497	79.5
5.31	101.092	78.5229
5.32	104.888	77.8517
5.33	108.215	77.3371
5.34	110.862	76.8001
5.35	112.973	76.278
5.36	114.36	75.8678
5.37	115.248	75.3233
5.38	115.442	74.9728
5.39	115.151	74.4954
5.40	114.435	74.0778
5.41	113.45	73.5035
5.42	112.1	73.0634
5.43	110.638	72.5115
5.44	108.96	71.9745
5.45	107.021	71.2063
5.46	104.649	70.5873
5.47	102.002	69.8415
5.48	98.8991	69.2373
5.49	95.6994	68.499
5.50	92.5073	68.0365
5.51	89.6508	67.4995
5.52	87.1075	67.507
5.53	84.9371	67.9396
5.54	82.9905	69.4984
5.55	81.5883	72.3176
5.56	80.0221	76.7926
5.57	78.8809	82.6026
5.58	77.7696	89.7775
5.59	76.7628	97.5118
5.60	75.8902	105.544
5.61	75.2637	113.122
5.62	74.6968	120.282
5.63	74.2269	126.249
5.64	73.675	131.38
5.65	73.2872	135.191
5.66	72.8248	137.936
5.67	72.3102	139.495
5.68	71.8403	140.076
5.69	71.3331	139.711
5.70	70.7961	138.674
5.71	70.3113	137.138
5.72	69.6252	135.169
5.73	69.1702	132.767
5.74	68.4169	130.291
5.75	67.9172	127.45
5.76	67.2534	124.496
5.77	66.6717	121.274
5.78	66.0004	117.776
5.79	65.5305	113.778
5.80	65.1725	109.587
5.81	65.3143	105.045
5.82	66.0303	100.719
5.83	67.768	96.4826
5.84	70.5351	92.6341
5.85	74.3164	89.151
5.86	78.7243	86.1379
5.87	83.5126	83.5051
5.88	88.1367	81.3869
5.89	92.5073	79.5298
5.90	96.2141	78.2992
5.91	99.4062	77.0611
5.92	101.905	76.2407
5.93	103.978	75.5545
5.94	105.395	75.1667
5.95	106.283	74.6521
5.96	106.536	74.2419
5.97	106.342	73.772
5.98	105.619	73.496
5.99	104.62	72.877
6.00	103.247	72.5787
6.01	101.741	72.1013
6.02	99.8314	71.7359
6.03	97.7505	71.2585
6.04	95.2221	70.8931
6.05	92.4551	70.2442
6.06	89.3972	69.8116
6.07	86.563	69.215
6.08	83.6916	68.7152
6.09	81.4839	68.141
6.10	79.4403	67.604
6.11	77.9188	66.9178
6.12	76.5539	66.5076
6.13	75.3606	65.9557
6.14	74.2195	65.7841
6.15	73.3021	65.9855
6.16	72.3922	67.1415
6.17	71.7732	69.3716
6.18	71.087	73.2275
6.19	70.6022	78.5453
6.20	70.0727	85.2876
6.21	69.6625	92.8205
6.22	69.215	100.771
6.23	68.8942	108.528
6.24	68.4691	115.874
6.25	68.0962	122.415
6.26	67.5592	128.143
6.27	67.2161	132.506
6.28	66.7537	135.773
6.29	66.2764	137.772
6.30	65.8438	138.809
6.31	65.4112	138.794
6.32	64.822	138.115
6.33	64.4193	136.623
6.34	63.9046	134.96
6.35	63.5541	132.685
6.36	63.0991	130.261
6.37	62.7933	127.487
6.38	62.6442	124.668
6.39	62.853	121.468
6.40	63.5914	118.03
6.41	65.3292	114.233
6.42	68.0067	110.221
6.43	71.8179	105.768
6.44	76.2929	101.413
6.45	81.2452	97.1314
6.46	85.8545	93.089
6.47	90.2772	89.4792
6.48	93.8945	86.3243
6.49	97.0718	83.5498
6.50	99.5479	81.2751
6.51	101.718	79.3732
6.52	103.046	77.8815
6.53	104.083	76.6061
6.54	104.441	75.8081
