#t [s],	 res[A],	 res[Q] 
6.49770000000000003126 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49880000000000013216 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.49990000000000023306 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50100000000000033396 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50210000000000043485 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50320000000000053575 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50430000000000063665 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50540000000000073754 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50649999999999995026 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50760000000000005116 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50870000000000015206 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.50980000000000025295 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51090000000000035385 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51200000000000045475 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51310000000000055564 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51420000000000065654 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51529999999999986926 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51639999999999997016 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51750000000000007105 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51860000000000017195 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.51970000000000027285 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52080000000000037375 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52190000000000047464 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52300000000000057554 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52410000000000067644 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52519999999999988916 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52629999999999999005 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52740000000000009095 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52850000000000019185 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.52960000000000029274 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53070000000000039364 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53180000000000049454 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53290000000000059543 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53400000000000069633 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53509999999999990905 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53620000000000000995 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53730000000000011084 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53840000000000021174 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.53950000000000031264 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54060000000000041354 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54170000000000051443 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54280000000000061533 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54390000000000071623 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54499999999999992895 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54610000000000002984 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54720000000000013074 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54830000000000023164 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.54940000000000033253 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55050000000000043343 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55160000000000053433 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55270000000000063523 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55380000000000073612 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55489999999999994884 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55600000000000004974 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55710000000000015064 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55820000000000025153 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.55930000000000035243 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56040000000000045333 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56150000000000055422 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56260000000000065512 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56370000000000075602 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56479999999999996874 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56590000000000006963 ,	 0.00001707654078451157 ,	 0.00503065881446785462 
6.56700000000000017053 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.56810000000000027143 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.56920000000000037232 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57030000000000047322 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57140000000000057412 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57250000000000067502 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57359999999999988773 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57469999999999998863 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57580000000000008953 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57690000000000019043 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57800000000000029132 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.57910000000000039222 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58020000000000049312 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58130000000000059401 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58240000000000069491 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58349999999999990763 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58460000000000000853 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58570000000000010942 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58680000000000021032 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58790000000000031122 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.58900000000000041211 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59010000000000051301 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59120000000000061391 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59230000000000071481 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59339999999999992752 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59450000000000002842 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59560000000000012932 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59670000000000023022 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59780000000000033111 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.59890000000000043201 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60000000000000053291 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60110000000000063380 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60220000000000073470 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60329999999999994742 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60440000000000004832 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60550000000000014921 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60660000000000025011 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60770000000000035101 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60880000000000045191 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.60990000000000055280 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61100000000000065370 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61210000000000075460 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61319999999999996732 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61430000000000006821 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61540000000000016911 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61650000000000027001 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61760000000000037090 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61870000000000047180 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.61980000000000057270 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62090000000000067359 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62199999999999988631 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62309999999999998721 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62420000000000008811 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62530000000000018900 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
